age,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,exam_score,gender_Male,gender_Other,extracurricular_participation_Yes
23,0.0,1.2,1.1,0,85.0,8.0,1.0,6,2,1,8,56.2,0,0,1
20,6.9,2.8,2.3,0,97.3,4.6,2.0,6,0,1,8,100.0,0,0,0
21,1.4,3.1,1.3,0,94.8,8.0,0.0,1,0,0,1,34.3,1,0,0
23,1.0,3.9,1.0,0,71.0,9.2,0.0,4,2,2,1,26.8,0,0,1
19,5.0,4.4,0.5,0,90.9,4.9,1.0,3,2,2,1,66.4,0,0,0
24,7.2,1.3,0.0,0,82.9,7.4,1.0,1,2,1,4,100.0,1,0,0
21,5.6,1.5,1.4,1,85.8,6.5,2.0,2,2,0,4,89.8,0,0,0
21,4.3,1.0,2.0,1,77.7,4.6,1.0,0,1,1,8,72.6,0,0,0
23,4.4,2.2,1.7,0,100.0,7.1,2.0,3,1,2,1,78.9,0,0,0
18,4.8,3.1,1.3,0,95.4,7.5,2.0,5,1,2,10,100.0,0,0,1
19,4.6,3.7,0.8,0,77.6,5.8,1.0,1,0,2,3,63.3,0,0,0
23,3.9,2.4,2.5,0,71.7,7.9,1.0,2,1,1,1,74.4,1,0,0
19,3.7,2.1,0.4,1,81.1,4.5,1.0,1,1,2,9,76.9,0,0,0
19,3.4,2.7,2.7,0,89.3,4.7,1.0,4,1,2,10,75.8,0,0,0
24,2.4,1.5,0.7,0,87.4,6.7,0.0,6,1,1,9,78.9,1,0,0
21,3.1,5.0,1.0,0,97.5,6.5,2.0,6,0,1,7,74.0,1,0,0
20,1.0,0.6,0.2,0,92.9,5.6,0.0,3,0,0,8,55.2,1,0,1
24,3.4,2.7,1.2,0,94.7,7.5,0.0,0,0,1,1,70.8,0,0,1
24,2.0,4.9,2.9,1,88.3,7.1,2.0,2,0,2,5,43.9,0,1,0
19,1.8,2.5,2.4,0,71.1,7.5,1.0,1,0,1,2,45.3,1,0,0
22,3.8,2.3,2.9,0,83.0,6.4,2.0,3,2,2,1,58.5,0,0,0
21,5.6,2.1,2.4,0,95.6,7.2,1.0,1,0,2,3,82.5,1,0,0
18,4.9,2.3,0.6,0,84.5,6.0,1.0,3,0,1,7,98.7,0,1,0
24,1.1,4.1,1.4,1,90.0,9.0,1.0,6,1,2,1,43.7,0,0,0
20,2.0,0.0,0.9,1,81.8,5.5,1.0,4,1,1,2,54.9,0,0,0
22,4.9,4.3,3.3,0,74.7,9.0,1.0,1,0,1,2,69.9,1,0,1
22,2.0,0.8,0.5,0,83.8,6.5,2.0,4,1,0,4,73.5,1,0,0
18,3.2,2.2,2.8,1,88.1,4.8,1.0,5,1,1,3,71.1,1,0,0
24,4.3,2.0,2.8,1,78.4,8.1,2.0,5,0,0,3,82.8,1,0,1
20,2.0,3.2,3.8,1,82.6,6.7,0.0,6,0,0,10,75.7,0,0,1
21,3.7,0.6,1.3,0,75.6,7.5,1.0,2,2,1,5,70.6,0,0,0
17,1.5,3.1,2.6,1,96.2,8.0,1.0,4,1,1,3,51.3,0,1,1
20,2.6,4.9,4.3,0,82.1,6.9,2.0,3,1,2,7,52.1,0,1,0
18,4.0,0.9,1.1,0,99.5,5.8,0.0,2,0,1,5,70.7,0,0,0
22,1.1,2.7,0.1,0,100.0,7.7,1.0,1,0,2,4,51.2,0,0,0
21,4.2,1.7,0.0,1,84.2,6.5,2.0,1,1,1,3,72.6,0,0,0
20,3.5,3.0,2.6,0,74.9,7.3,1.0,3,0,2,4,70.7,0,0,0
17,4.3,2.5,0.0,1,64.1,3.9,2.0,0,0,1,2,59.4,1,0,0
17,3.8,1.7,1.4,0,70.3,7.0,0.0,0,1,2,1,58.1,1,0,0
19,5.5,3.1,2.3,0,71.3,5.7,2.0,1,0,1,3,82.3,1,0,0
19,3.7,4.7,2.0,0,98.8,8.5,2.0,6,1,2,2,69.7,0,0,0
23,2.9,2.3,2.3,0,86.2,7.2,2.0,6,1,1,1,66.0,0,0,0
18,3.7,3.4,2.0,0,88.9,6.8,1.0,3,0,0,1,63.5,1,0,1
24,4.3,0.9,3.2,0,62.8,7.1,0.0,0,1,2,2,65.7,0,0,0
20,3.6,1.4,0.8,0,73.0,5.3,2.0,4,0,0,9,78.5,0,0,0
20,3.6,3.1,1.1,0,93.9,8.4,1.0,1,1,1,5,75.1,1,0,1
24,2.4,4.3,1.0,0,87.9,8.9,0.0,5,0,1,9,71.0,1,0,1
23,2.5,2.9,2.7,0,83.5,7.0,2.0,4,0,2,8,59.7,0,0,1
22,1.4,2.1,2.8,0,90.6,8.4,1.0,3,1,2,6,52.6,0,0,0
22,6.1,2.5,2.3,0,100.0,5.8,0.0,5,0,1,1,96.5,0,0,0
23,1.6,1.0,3.1,0,82.8,5.5,1.0,4,2,2,10,62.0,0,0,1
22,2.5,3.2,0.5,0,85.7,6.5,0.0,0,0,1,5,59.7,0,0,0
19,2.4,3.6,3.6,0,86.9,7.0,1.0,6,0,1,1,48.4,0,0,0
20,4.8,2.0,3.5,0,100.0,6.0,2.0,0,1,2,7,70.6,0,0,1
23,3.1,1.9,2.6,1,64.0,7.1,1.0,5,0,2,10,68.1,0,0,0
20,5.4,2.8,3.8,0,91.8,6.9,2.0,2,0,2,8,87.2,1,0,0
24,2.5,2.0,0.0,0,83.9,5.3,2.0,6,1,1,8,66.7,1,0,0
17,3.9,2.4,1.2,0,90.7,7.1,2.0,1,1,1,7,75.2,1,0,1
19,2.2,5.0,1.0,0,78.4,7.5,0.0,5,2,1,2,46.4,0,0,1
21,6.7,2.2,2.6,0,84.5,6.7,2.0,3,2,1,5,97.1,0,0,1
19,1.7,2.1,0.6,1,92.1,7.9,1.0,1,0,1,4,61.2,0,0,0
23,4.0,1.7,2.6,0,100.0,5.0,1.0,4,1,2,5,75.0,1,0,0
21,4.5,3.4,3.3,1,93.1,7.1,2.0,6,0,2,10,94.7,1,0,0
17,4.1,2.3,2.6,1,76.5,5.1,1.0,3,1,1,9,77.6,1,0,0
23,3.2,1.7,2.1,0,80.8,5.2,2.0,3,0,0,4,68.6,1,0,1
18,3.3,4.1,0.7,0,80.5,5.7,0.0,0,2,2,8,69.6,0,0,0
20,3.6,4.2,0.9,0,67.0,5.4,2.0,4,1,1,8,66.5,1,0,0
17,3.3,1.8,3.2,0,81.7,5.8,0.0,0,2,2,2,62.2,1,0,0
20,4.9,0.3,2.7,1,92.3,6.2,2.0,0,1,0,6,82.1,0,0,0
22,6.8,3.7,1.8,0,72.3,7.5,0.0,6,2,1,5,100.0,1,0,0
18,2.7,1.7,1.3,0,95.5,6.1,0.0,2,1,2,2,59.7,0,0,1
18,1.4,3.4,0.0,0,89.9,4.6,1.0,0,0,0,10,55.1,0,0,1
